E1,E1_TYPE,RELATION,E2,E2_TYPE,ECB_DBpedia,Gold_Sentence,Silver_Sentence,amalREC_Test_Sentence
Territorial_Council_of_Saint_Pierre_and_Miquelon,Organization,politicalPartyInLegislature,Archipelago_Tomorrow,Organization,"Archipelago Tomorrow is a right-wing political movement in the French collectivité d'outre-mer of Saint Pierre and Miquelon, and is a political party in the Territorial Council of Saint Pierre and Miquelon.",Archipelago Tomorrow is a prominent political party in the legislature of Territorial Council of Saint Pierre and Miquelon.,The legislature of the Territorial Council of Saint Pierre and Miquelon has a prominent political party called Archipelago Tomorrow.,"Archipelago Tomorrow, the political party that actively participates in the legislature of the Territorial Council of Saint Pierre and Miquelon, is currently focused on opposing the referendum."
Teresew,Location,country,Poland,Location,Teresew is a village located in the Masovian Voivodeship in central Poland.,Teresew is a tributary that flows through the beautiful landscape of the country Poland.,The beautiful landscape of Poland has a river called Teresew that flows through it.,"Teresew, a captivating village nestled amidst Poland's scenic landscapes, enchants visitors with its historical charm and the serene flow of the Teresew River through its idyllic countryside."
"Otto_I,_Holy_Roman_Emperor",Person,placeOfBirth,"Wallhausen,_Saxony-Anhalt",Location,"Wallhausen, Saxony-Anhalt is the birthplace of Otto I, the Holy Roman Emperor.","Otto I, Holy Roman Emperor was born at the place Wallhausen, Saxony-Anhalt.",The Holy Roman Emperor Otto I was born at the place Wallhausen.,"Wallhausen, Saxony-Anhalt serves as the birthplace for Otto I, the Holy Roman Emperor who was born there."
Cormeilles-en-Parisis,Location,arrondissement,Argenteuil,Location,"Cormeilles-en-Parisis, a commune in the Val-d'Oise department in Île-de-France in Northern France, is in the same arrondissement as the northwestern suburbs of Paris, France, Argenteuil.",The charming village of Cormeilles-en-Parisis is location in the arrondissement of Argenteuil.,"In the arrondissement of Argenteuil, there is a charming village called Cormeilles-en-Parisis.","Argenteuil, an arrondissement in the Val-d'Oise department of the Île-de-France region of northern France, proudly encompasses within its boundaries the captivating commune of Cormeilles-en-Parisis."
Taipei_Liaison_Office_in_the_Republic_of_South_Africa,Organization,jurisdiction,Burundi,Location,"The Taipei Liaison Office in the Republic of South Africa, which represents the interests of Taiwan in South Africa in the absence of formal diplomatic relations, also has jurisdiction over Burundi.",The independent institution Taipei Liaison Office in the Republic of South Africa has jurisdiction over Burundi.,There is jurisdiction over Burundi by the independent institution Taipei Liaison Office in South Africa.,"With its jurisdiction extending over Burundi, the Taipei Liaison Office in the Republic of South Africa asserts its influence in the region, bolstering Taiwan's diplomatic reach while formally bypassing South Africa's recognition of China."
Philippe_Desrosiers,Person,prospectLeague,ECHL,Organization,"Philippe Desrosiers, born on August 16, 1995, is a Canadian professional ice hockey goaltender, who played for the ECHL.",Philippe Desrosiers is a promising prospect in the league led by ECHL.,It was said that Philippe Desrosiers is a promising prospect in the league led by ECHL.,"Despite playing for the ECHL, Philippe Desrosiers is considered a top-tier prospect within the organization, offering tremendous promise for the future."
Kurushima-Kaikyō_Bridge,Location,crosses,Seto_Inland_Sea,Location,"The Kurushima-Kaikyō Bridge is a suspension bridge that crosses the Seto Inland Sea, the body of water separating Honshū, Shikoku, and Kyūshū, three of the four main islands of Japan.",The busiest bridge Kurushima-Kaikyō Bridge crosses over and spans the expanse of the river Seto Inland Sea.,"""The busiest bridge is the Kurishima-Kaiy Bridge that crosses over and spans the expanse of the river Seto Inland Sea.""","Anchored in the depths of the Seto Inland Sea, the Kurushima-Kaikyō Bridge unfurls its colossal structure across the expanse of this vital waterway."
Castelnau-de-Lévis,Location,arrondissement,Albi,Location,Castelnau-de-Lévis is a commune in the Albi arrondissement of the Tarn department in southern France.,The charming village of Castelnau-de-Lévis is location in the arrondissement of Albi.,The arrondissement of Albi contains the charming village of Castelnau-de-Lévis.,"Castelnau-de-Lévis, renowned for its medieval architecture, finds its administrative home within the arrondissement of Albi, known for its vibrant tapestry of historical and cultural attractions."
John_Leopold_Denman,Person,significantProject,"St_Peter's_Church,_West_Blatchington",Location,"St Peter's Church, West Blatchington, is one of the significant projects of architect John Leopold Denman.","John Leopold Denman undertook a significant project with his involvement in the development of St Peter's Church, West Blatchington situated in a remarkable location.","John Denman undertook a significant project with his involvement in the development of St Peter's Church, West Blatchington situated in a remarkable location.","John Leopold Denman, the esteemed architect, left an enduring mark with the magnificent St. Peter's Church in West Blatchington, a testament to his prowess that not only provided a sacred space but also adorned the locale."
Kumamoto_Castle,Location,builder,Katō_Kiyomasa,Person,"Katō Kiyomasa, a Japanese daimyō of the Azuchi–Momoyama and Edo periods, was a builder of the Kumamoto Castle located in Chūō-ku, Kumamoto in Kumamoto Prefecture.", A skilled builder named Katō Kiyomasa employed his expertise in the construction of the Kumamoto Castle.,"According to the story, a skilled builder named Kat Kiyomasa was responsible for constructing the Kumamoto Castle.","Katō Kiyomasa's architectural prowess was instrumental in the creation of Kumamoto Castle, a testament to his skill as a master builder."
Joseph_Lister_(VC),Person,restingPlace,Reddish,Location,"Joseph Lister VC, an English recipient of the Victoria Cross, was laid to rest in Reddish, an area in Metropolitan Borough of Stockport, Greater Manchester, England.",Joseph Lister (VC) rests peacefully in the serene location of Reddish.,The serene location of Reddish was where Joseph Lister was resting peacefully.,"The resting place of Joseph Lister VC, a Victoria Cross recipient, is in Reddish, a charming town nestled within Greater Manchester, England."
São_Roque_do_Pico,Location,highestPlace,Mount_Pico,Location,"The municipality of São Roque do Pico occupies most of the northern side of the island of Pico, which is the location of the highest point in the Azores, Mount Pico.",The highest point of São Roque do Pico is the majestic Mount Pico offering a breathtaking wilderness view.,Mount Pico is the highest point in So Roque do Pico and offers a magnificent wilderness view.,"Towering over São Roque do Pico, the imposing Mount Pico stands as a majestic sentinel, its snow-kissed summit piercing the heavens, inviting adventurous hikers to conquer its rugged slopes and witness the breathtaking panorama from its lofty perch."
Rio_Ave_F.C.,Organization,manager,Capucho_(footballer),Person,"Rio Ave manager Capucho is a former Portuguese player, who played as a winger.",Rio Ave F.C. is a respected leader with proven track record who is managing Capucho (footballer) with great excellence. ,Rio Ave F.C. is managed by a leader with a proven track record who is also a great football coach.,"Capucho, the former Portuguese winger, now holds the managerial reins at Rio Ave F.C., a team that has flourished under his astute guidance."
Lench_Mob_Records,Organization,distributingCompany,Caroline_Distribution,Organization,"Lench Mob Records, an independently owned record label owned by Los Angeles rapper and actor Ice Cube, is distributed by Caroline Distribution.",Lench Mob Records had its distribution handled by the record distribution company called Caroline Distribution.,Explanation: The record distribution company that handled the distribution of Lench Mob Records was called Caroline Distribution.,"Caroline Distribution, owned by the Los Angeles rapper and actor Ice Cube, distributes the music for record label Lench Mob Records."
American_Locomotive_Company,Organization,subsidiary,Montreal_Locomotive_Works,Organization,"The American Locomotive Company, an American manufacturer of locomotives, diesel generators, steel and tanks, and Montreal Locomotive Works, a Canadian railway locomotive manufacturer, were both subsidiaries of the General Motors Corporation.",American Locomotive Company is a parent organization and have Montreal Locomotive Works as its subsidiary organization.,"Montreal Locomotive Works is a subsidiary organization of the American Locomotive Company, which is also a parent organization.","As a subsidiary of the American Locomotive Company, Montreal Locomotive Works' primary focus is manufacturing locomotives in Canada."
Pigeon_John,Person,recordLabel,Basement_Records,Organization,"Pigeon John, an American rapper based in Los Angeles, California, is signed to the record label Basement Records, which was founded in 2000 by Chuck Dietrich.",The renowned record label Basement Records has played an important role in introducing and releasing numerous influential musicians including Pigeon John.,"Pigeon John was released by Basement Records, a renowned record label that has played an important role in introducing and releasing many influential musicians.","Pigeon John's debut album, released under the Basement Records label, marked the musician's significant entry into the music industry."
Chuck_Beatty,Person,debutTeam,Pittsburgh_Steelers,Organization,"Pittsburgh Steelers, the professional American football team based in Pittsburgh, was the debut team for Charles 'Chuck' Beatty, an American politician and former American football player.",Chuck Beatty embarked on his professional athletic journey with the debut team of the illustrious Pittsburgh Steelers.,Chuck Beatty began his professional athletic journey with the debut team of the illustrious Pittsburgh Steelers.,Chuck Beatty's entry into the esteemed ranks of the Pittsburgh Steelers was the auspicious launchpad for his illustrious dual career as a revered American football player and a respected American politician.
Vince_Cable,Person,successor,Simon_Hughes,Person,Simon Hughes is a former British politician. Vince Cable is a British politician who was Leader of the Liberal Democrats from 2017 to 2019. Vince Cable is Simon Hughes's successor.,"Vince Cable was succeeded by Simon Hughes, each bringing their own distinctive leadership style to achieve a successful tenure.","Simon Hughes followed in the footsteps of Vince Cable, who brought his own distinctive leadership style to his tenure.","Simon Hughes followed in Vince Cable's footsteps as the successor of the Leader of the Liberal Democrats, bringing a fresh perspective to the role."
Saint_Dominic_Academy,Organization,religion,Dominican_Order,Organization,"Saint Dominic Academy, a private college-preparatory for girls in seventh through twelfth grades, located in Jersey City, in Hudson County, New Jersey, United States, is associated with the Roman Catholic Church and the Dominican Order.",The prestigious institution known as Saint Dominic Academy adheres to the religious principles of the Dominican Order society.,The religious principles of the Dominican Order society are respected by the prestigious institution known as Saint Dominic Academy.,"Established in the 19th century by the Dominican Order, Saint Dominic Academy, a renowned educational establishment, boasts a rich history intertwined with the spiritual values and scholarly traditions of the Dominican Order."
Zug,Location,highestPlace,Zugerberg,Location,"Zugerberg is the highest place in the Swiss canton of Zug, of which Zug is the capital.",The highest point of Zug is the majestic Zugerberg offering a breathtaking wilderness view.,The Zugerberg is the highest point in the area and offers a magnificent wilderness view.,"Nestled in the heart of Zug, the majestic Zugerberg stands as the highest peak, captivating visitors with its breathtaking natural beauty and offering a panoramic spectacle of the enchanting Swiss Alps, casting its regal presence over the surrounding landscape."
Billy_Petrick,Person,debutTeam,Chicago_Cubs,Organization,"Billy Petrick, a Major League Baseball pitcher, made his debut for the Chicago Cubs.",Billy Petrick embarked on his professional athletic journey with the debut team of the illustrious Chicago Cubs.,"A quote from Billy Petrick, who was on the Chicago Cubs' first team: ""I embarked on my professional athletic journey with the debut team of the illustrious Chicago Cub.""","Billy Petrick, a former Chicago Cubs pitcher, debuted with the organization in the mid-19th century, a historic moment for the team."
Vasile_Tarlev,Person,deputy,Zinaida_Greceanîi,Person,"Vasile Tarlev, a Moldovan politician, was a deputy to Zinaida Greceanîi.",Known for their leadership skills Vasile Tarlev assumed the crucial role of deputy to Zinaida Greceanîi.,"The key role of Vasile Tarlev was that of deputy to Zinaida Greceani, a leader known for their leadership skills.","Vasile Tarlev's political acumen was instrumental in his appointment as a deputy to Zinaida Greceanîi, who was known for her political prowess and ability to navigate the complexities of the political arena."
Kokkuvil_Hindu_College,Organization,authority,Northern_Provincial_Council,Organization,The Northern Provincial Council of Sri Lanka is the authority that oversees the operations of the Kokkuvil Hindu College.,The Kokkuvil Hindu College is authorised to be operated and regulated by the Northern Provincial Council.,"According to the Northern Provincial Council, The Kokkuvil Hindu College is authorized to be operated and regulated.","The Northern Provincial Council, which has authority over educational institutions in the Northern Province, regulates the operations of Kokkuvil Hindu College."
Ronnie_James_Dio,Person,band,Rainbow_(rock_band),Organization,Ronnie James Dio was the lead singer of the British rock supergroup Rainbow from 1975 to 1979.,Ronnie James Dio was one of the valuable member of the band Rainbow (rock band),"According to this quote, one of the valuable members of Rainbow isRonnie James Dio.","Rainbow's British rock supergroup was led by Ronnie James Dio, a renowned performer."
Jermaine_Jackson,Person,recordLabel,LaFace_Records,Organization,"Jermaine Jackson was an American singer, songwriter, bassist, and member of the Jackson family who was signed to the LaFace Records label.",The renowned record label LaFace Records has played an important role in introducing and releasing numerous influential musicians including Jermaine Jackson.,"The renowned record label LaFace Records has played an important role in introducing and releasing numerous influential musicians, including Jermaine Jackson.","Jermaine Jackson, a notable musician, was signed under the LaFace Records label, which has nurtured and promoted the careers of many music industry legends."
Christopher_Randolph,Person,nationality,United_States,Location,"Christopher Randolph, an American actor who was born in Boston, Massachusetts, is a citizen of the United States of America.",Christopher Randolph is a well-known citizen of United States famous for his great work.,It's been said that Christopher Randolph is a well-known citizen of the United States and famous for his work.,"Christopher Randolph, an individual born in Boston, Massachusetts, and currently residing in the United States, is widely acclaimed for his contributions to the field of psychology."
Henri_Ikonen,Person,prospectTeam,Syracuse_Crunch,Organization,"Henri Ikonen, a Finnish professional ice hockey forward currently playing for Jokerit in the Kontinental Hockey League, spent time in the American Hockey League with the Syracuse Crunch.",Henri Ikonen is a valuable member of the prospect team of the undefeated Syracuse Crunch.,Henri Ikonen is an important member of the Syracuse Crunch prospect team.,"Henri Ikonen, a promising Finnish forward in the NHL, spent time in the AHL with the Syracuse Crunch, a highly regarded minor league team within the prestigious AHL."
Alexei_Rogonov,Person,currentPartner,Kristina_Astakhova,Person,Alexei Rogonov is a Russian former pair skater who is currently paired with Kristina Astakhova.,Alexei Rogonov is happily married to Kristina Astakhova.,There is a happily married man and woman in this picture.,"Amidst the bustling metropolis of Moscow, Alexei Rogonov, a renowned figure skater, glides through life hand-in-hand with Kristina Astakhova, his partner both on and off the ice, whose love and companionship provide him the solace to navigate the tumultuous waters of their demanding profession."
The_Weathermen_(hip_hop_group),Organization,bandMember,Cage_(rapper),Person,"Christian Palko, better known by his stage name Cage, is an American rapper and actor from Middletown, Orange County, New York and a member of the hip hop production group The Weathermen.",The famous The Weathermen (hip hop group) which is known for its unqiue blend of music genres welcomed Cage (rapper) as one of their band members.,"The famous The Weathermen, which is known for its unqiue blend of music genres, welcomed Cage as one of their band members.","As a hip-hop group, The Weathermen incorporated the celebrated rapper Cage into their ensemble, enhancing their musical diversity."
Eliseo_Barrón,Person,bodyDiscoveredPlace,Mexico,Location,,Eliseo Barrón was tragically murdered and their body was discovered at Mexico.,"There is a quotation that says ""Selio Barrn was tragically murdered and their body was discovered at Mexico.""","Following his untimely demise, Mexican authorities located Eliseo Barrón's body within the confines of a Guadalcanal guesthouse."
Iowa_Highway_38,Location,routeJunction,"Wilton,_Iowa",Location,"Iowa Highway 38 (Iowa 38) is a 98-mile-long (158 km) state highway that runs through eastern Iowa and is considered to be the route junction of Wilton, Iowa.","The Iowa Highway 38 intersects with Wilton, Iowa along its route.","This quote was taken from a road that intersects with the Iowa Highway 38 in Wilton, Iowa.","Iowa Highway 38, a critical highway in eastern Iowa, forms a route junction with Wilton, a small town in the state, connecting it to the wider transportation network."
Rudolf_Mentzel,Person,countryOfCitizenship,Germany,Location,"Rudolf Mentzel, a German chemist, was a citizen of Germany.",Rudolf Mentzel proudly holds citizenship in the culturally affluent and historically influential country of Germany,"In Germany, the culturally affluent and historically influential country of Europe, there is a man who holds citizenship.","Rudolf Mentzel, who was born in 1953, held citizenship in Germany, a country known for its engineering and technology contributions, and later became a renowned German-born Canadian actor and director, taking pride in his German heritage."
Jet_Express,Organization,airlineHub,Libreville_International_Airport,Location,"Based in Libreville, Gabon, Jet Express had its main hub at Libreville International Airport.","['The Jet Express operates out from Libreville International Airport,as it serves as airline hub for various airlines.']",The Jet Express serves as the airline hub for various airlines from the Libreville International Airport.,"Jet Express, headquartered in Libreville, Gabon, manages the airline hub at Libreville International Airport, servicing the aviation needs of various airlines."
Ganga_Talao,Location,island,Mauritius,Location,"Grand Bassin is a crater lake situated in the district of Savanne, deep in the heart of Mauritius, an island nation in the Indian Ocean about 2,000 kilometres (1,200 mi) off the southeast coast of the African continent, east of Madagascar.",Mauritius is an island located in the Ganga Talao.,The Ganga Talao is where the island of Mauritius is located.,"Mauritius, an island nation situated in the Indian Ocean, encompasses the island of Ganga Talao, a location renowned for its religious and spiritual significance."
148th_Infantry_Regiment_(United_States),Organization,garrison,"Walbridge,_Ohio",Location,"The 148th Infantry Regiment, a parent regiment of the Ohio Army National Guard, is based in Walbridge, Ohio, which is located in Wood County, Ohio.","The 148th Infantry Regiment (United States) had its garrison stationed in Walbridge, Ohio for maintaining peace and order in the region.","According to this story, the garrison of The 148th Infantry Regiment was located in Walbridge, Ohio for maintaining peace and order.","The 148th Infantry Regiment (United States), an organization with a long and distinguished history, is currently garrisoned in Walbridge, Ohio, a location centrally positioned within Wood County, Ohio."
Southwest_University_Park,Location,builder,Hunt_Construction_Group,Organization,"Southwest University Park, a baseball stadium in El Paso, Texas, was built by the Hunt Construction Group, an American construction management firm based in Indianapolis, Indiana.",Southwest University Park was constructed by Hunt Construction Group for protection of the island.,"According to the Hunt Construction Group, Southwest University Park was built for protection of the island.","Hunt Construction Group, an Indianapolis-based construction management firm, built Southwest University Park, a baseball stadium in the vibrant city of El Paso, Texas."
Harry_Mulisch,Person,awardedBy,Harry_Mulisch,Person,"Harry Mulisch, a Dutch writer, was awarded the 1967  for his novel ""The Discovery of Heaven"".",Harry Mulisch was recognized and awarded for their lifetime contribution by Harry Mulisch.,"For their lifetime contribution to the field, Harry Mulisch was awarded a citation and recognition.","Harry Mulisch, the renowned Dutch author, celebrated his own exceptional writing career by bestowing himself with the prestigious Harry Mulisch Award."
Gulmurod_Khalimov,Person,militaryBranch,Ministry_of_Internal_Affairs_(Tajikistan),Organization,Gulmurod Salimovich Khalimov was a Tajik and Islamist military commander who served in the Tajikistan's Ministry of Internal Affairs.,Gulmurod Khalimov courageously served in the Ministry of Internal Affairs (Tajikistan) as their military branch.,"The military branch of the Ministry of Internal Affairs (Tajikistan) was served by the bravest man in the world, Gulmurod Khalimov.","In the Republic of Tajikistan, the unwavering Gulmurod Khalimov implemented military strategy within the Ministry of Internal Affairs' armed forces."
Virginia_Stroud,Person,trainedAt,Bacone_College,Organization,"Virginia Stroud, the Indian Arts and Crafts Association Artist of the Year, 1982; Five Civilized Tribes Museum Master Artist, 1986; Cherokee Medal of Honor, 2000, acquired the skills that she would use in her successful career as an artist by training at Bacone College, formerly Bacone Indian University, a tribal college in Muskogee, Oklahoma.","Virginia Stroud received her training from Bacone College, one of the oldest and most respected institutions.","One of the oldest and most respected institutions is the Bacone College, where Virginia Stroud received her training.","Virginia Stroud honed her artistic expertise at Bacone College, an institution renowned for fostering Indigenous culture and heritage."
Archbishop_Porter_Girls_Secondary_School,Organization,region,Western_Region_(Ghana),Location,"The Archbishop Porter Girls Secondary School is located in the Western Region, which spreads from the Ivory Coast in the west to the Central region in the east.","Archbishop Porter Girls Secondary School is a reputable school with an impressive academic track record, situated within the region of Western Region (Ghana).","In the Western Region (Ghana), there is a well-known school with an excellent academic track record called Archbishop Porter Girls Secondary School.","Nestled in the Western Region of Ghana, Archbishop Porter Girls Secondary School ranks among the top secondary schools in the nation, nurturing young women's academic and personal growth within the region's expanse, stretching from the Ivory Coast to the Central Region."
3rd_Battalion_28th_Marines,Organization,battleFoughtAt,Vietnam,Location,The 3rd Battalion 28th Marines fought in the Vietnam War.,The brave soldiers of 3rd Battalion 28th Marines distinguished themselves in battle fought alongside Vietnam.,It was the brave soldiers from 3rd battalion of 28th marines who distinguished themselves in battle.,"Through intense battles, the valiant 3rd Battalion 28th Marines valiantly defended Vietnam, a realm steeped in military and historical lore."
Baltic_Sea,Location,island,Ummanz,Location,The Baltic Sea is an arm of the Atlantic Ocean. Ummanz is an island in the Baltic Sea.,Ummanz is an island located in the Baltic Sea.,"Relating, it says that Ummanz is an island located in the Baltic Sea.","Ummanz, an island situated in the Baltic Sea, is part of the archipelago of the same name and is located off the coast of the German state of Mecklenburg-Vorpommern."
WMON,Organization,broadcastNetwork,NBC_Sports_Radio,Organization,"WMON (1340 AM) is a sports-formatted broadcast radio station licensed to Montgomery, West Virginia, United States, serving eastern Kanawha County, West Virginia and western Fayette County, West Virginia and is affiliated with the NBC Sports Radio network.",The radio station WMON broadcasts its variety of programs over the network of NBC Sports Radio.,There are programs on the radio station WMON that can be heard over NBC Sports Radio.,"The sports-focused radio station WMON is a part of the NBC Sports Radio network, broadcasting its programs to listeners across the region."
PEISH_TV,Organization,formerBroadcastNetwork,UPN,Organization,"Prior to its 2007 acquisition by the Time Warner Cable, PEISH TV was a local cable channel that used to broadcast UPN programming.",PEISH TV was formerly associated with the broadcast network of UPN.,"There is a television station called "" PEISH TV"" that was formerly associated with the broadcast network of UPN.","UPN, the former broadcast network of PEISH TV, sold the company to Time Warner Cable in 2007, transforming it into a local cable channel broadcasting UPN's programming."
Ellsworth_Storey,Person,significantProject,Mount_Constitution,Location,"Ellsworth Storey, a Seattle architect, was the architect of the Mount Constitution road, which is the highest point in the San Juan Islands and the second highest mountain on an ocean island in the contiguous 48 states.",Ellsworth Storey undertook a significant project with his involvement in the development of Mount Constitution situated in a remarkable location.,The development of Mount Constitution is situated in a remarkable location and was the project that was undertaken by Ellsworth Storey.,"Ellsworth Storey, a renowned architect of the Mount Constitution road, played a pivotal role in the development of the mountain, which stands as a testament to his architectural prowess."
Fleur_Maxwell,Person,coachOf,Igor_Lukanin,Person,"In the early 2000s, Igor Lukanin coached the Luxembourgian figure skater Fleur Maxwell.",Fleur Maxwell is now a coach and mentor of Igor Lukanin.,I think that the person who's been mentoring and coaching Igor Lukanin is Fleur Maxwell.,"Since Igor Lukanin was once the coach of Fleur Maxwell in the early 2000s, the two have now reversed roles with Fleur now serving as Igor's coach and mentor."
Ambrose_O'Connell,Person,appointedBy,Franklin_D._Roosevelt,Person,"Ambrose O'Connell, who served as the 29th Supreme Knight of the Knights of Columbus, was appointed to his position by Franklin D. Roosevelt.",Franklin D. Roosevelt entrusted Ambrose O'Connell with a key position recogninizing his abilites and leadership qualites.,Ambrose O'Connell was given a key position by Franklin D. Roosevelt to recogninizing his abilites and leadership qualites.,"Franklin D. Roosevelt, recognizing Ambrose O'Connell's exceptional administrative skills and dedication to public service, appointed him to the Vice President role, entrusting him with a crucial responsibility."
Herri_Batasuna,Organization,mergedIntoParty,Euskal_Herritarrok,Organization,"Herri Batasuna , a far-left Basque nationalist coalition in Spain merged into the party Euskal Herritarrok , a Basque independentist and socialist political party in the Basque Country.",Herri Batasuna has decided to merge into Euskal Herritarrok to increase their electoral chances.,Herri Batasuna decided to join Euskal Herritarrok to increase their chances of winning an election.,"Following a political decision, the Basque Country-based organization Herri Batasuna officially merged into Euskal Herritarrok, an influential and independent Basque-based political party."
Erich_Šlomović,Person,employer,Ambroise_Vollard,Person,"Erich Šlomović was employed by Ambroise Vollard, a French art dealer.",Erich Šlomović was renowned for his exceptional skills and found employment with Ambroise Vollard.,A quote from the story says that Erich lomovi was renowned for his exceptional skills and found employment with Ambroise Vollard.,"Erich Šlomović, a celebrated artist, thrived under the patronage of Ambroise Vollard, a renowned art collector and dealer, who recognized and fostered Šlomović's artistic talents."
Metropolitan_Borough_of_Bolton,Location,twinCountry,France,Location,"France is a twin country of the Metropolitan Borough of Bolton, which is a metropolitan borough of Greater Manchester, England, named after its largest town, Bolton, but covering a far larger area which includes Blackrod, Farnworth, Horwich, Kearsley, Westhoughton, and part of the West Pennine Moors.","The twin cities of <e1> and <e2> are distinguished by their breathtaking landscapes, vibrant cultures, and deep-rooted heritage.","They say that the twin cities are distinguished by their breathtaking landscapes, vibrant cultures and deep-rooted heritage.","France, the twin country of the Metropolitan Borough of Bolton, boasts a storied history and a rich cultural tapestry that mingles effortlessly with Bolton's rugged industrial heritage, creating a captivating blend that makes both locales a prime destination for the discerning traveler."
Tokyo_Metropolitan_Police_Department_Public_Security_Bureau,Organization,leader,Yōko_Kamikawa,Person,"The Tokyo Metropolitan Police Department Public Security Bureau is headed by the politician Yōko Kamikawa, who is also the current Minister of Justice.",Yōko Kamikawa had the opportunity to assume the leadership position within the organization Tokyo Metropolitan Police Department Public Security Bureau.,The Tokyo Metropolitan Police Department Public Security Bureau has a leadership position that Yko Kamikawa had the chance to take over.,"Yōko Kamikawa, the esteemed Public Security Bureau leader within the Tokyo Metropolitan Police Department, holds the distinguished position as the Minister of Justice."
John_C._Calhoun_II,Person,relative,John_C._Calhoun,Person,"John Caldwell Calhoun II (1843–1918) was the grandson of the prominent American statesman and political theorist John Caldwell Calhoun (; March 18, 1782 – March 31, 1850).","John C. Calhoun II is a relative of the renowned and influential personality, John C. Calhoun.","According to the statement, John C. Calhoun II is a relative of one of the most influential people in history.","John C. Calhoun II, the grandnephew of prominent American statesman John C. Calhoun, had a close familial connection to a figure whose political and theoretical ideas left a lasting legacy in American history."
Frank_Shelford,Person,school,Opotiki_College,Organization,"Frank Shelford, a former New Zealand rugby union player, attended Opotiki College, a state secondary school located in Ōpōtiki in the Bay of Plenty, North Island, New Zealand.",Frank Shelford attended the prestigious Opotiki College during his education.,"Relating, it says that Frank Shelford was a student at the prestigious Opotiki College.","After graduating from Opotiki College in Michigan, Frank Shelford went on to pursue a master's degree in international relations from the University of Michigan in 1938."
Somerset_Berkley_Regional_High_School,Organization,alumni,Greg_Gagne_(baseball),Person,"Greg Gagne, a former shortstop in Major League Baseball, was an alumni of the public high school for the towns of Somerset and Berkley, Massachusetts, United States, beginning in September 2011.",['Somerset Berkley Regional High School has produced numerous proud alumnus througout its glorious run including Somerset Berkley Regional High School.'],Somerset Berkley Regional High School has produced many proud alumni who have gone on to successful careers in other fields.,"Greg Gagne, an alumnus of the prestigious Somerset Berkley Regional High School, is a renowned baseball player known for his exceptional shortstop skills during his tenure in Major League Baseball."
Irene_Bustamante_Adams,Person,residence,Las_Vegas_Valley,Location,"Irene Bustamante Adams is an American politician and a Democratic member of the Nevada Assembly since February 7, 2011 representing District 42 and a native of Hanford, California and resides in the Las Vegas Valley.",The residence of the leader Irene Bustamante Adams in Las Vegas Valley is enclosed by high walls and security guards.,"The residence of the leader in Las Vegas Valley is surrounded by high walls and security guards, and is protected by high walls and security guards.","The Las Vegas Valley, renowned for its luxurious casinos and live entertainment, is where Irene Bustamante Adams has resided since claiming victory in the Nevada Assembly elections in 2011."
George_Ball_(diplomat),Person,inOfficePresident,Lyndon_B._Johnson,Person,"George Ball, an American diplomat and banker, was under the office of president Lyndon B. Johnson.",George Ball (diplomat) held a position of authority at the office during Lyndon B. Johnson's presidency.,"During Lyndon B. Johnson's presidency, George Ball held the position of authority at the office.","During Lyndon B. Johnson's presidency, George Ball, a respected diplomat and former member of the United States Congress, served in an advisory capacity to the office of the president."
1ZH,Organization,owner,Radio_New_Zealand,Organization,"Radio New Zealand, a Crown entity that was established under the Radio New Zealand Act 1995, owned 1ZH, a New Zealand radio station based in Hamilton, New Zealand.","The famous 1ZH is owned by Radio New Zealand, a prominent figure in the industry.","It was said that Radio New Zealand owns the famous 1ZH, a prominent figure in the industry.","Despite falling under the ownership of Radio New Zealand, 1ZH, a widely recognized radio station in New Zealand, is renowned for actively promoting Kiwi music and culture in the region."
Alexander_Calvit,Person,relative,John_Hunter_Herndon,Person,"Alexander Calvit, an early settler in colonial Texas and a sugar planter, is the grandfather of planter, lawyer, and judge in Texas, John Hunter Herndon.","Alexander Calvit is a relative of the renowned and influential personality, John Hunter Herndon.",John Hunter Herndon is a well-known and influential personality and Alexander Calvit is a relative of him.,"In the realm of familial connections, Alexander Calvit, a pivotal figure in Texas's history, stands as the grandfather of the renowned planter, lawyer, and judge John Hunter Herndon, a testament to their interwoven lineage and shared heritage."
Far_High_House_Meadows,Location,managedBy,Natural_England,Organization,"Far High House Meadows is a Site of Special Scientific Interest in Upper Weardale in west County Durham, England, managed by Natural England.",Far High House Meadows is the vital place for the environment and a very responsible body Natural England is managing it very well.,"Natural England is a very responsible body and they are managing the environment very well at Far High HouseMeadows, which is the vital place for the environment.","Natural England, an organization renowned for its efforts in environmental conservation, assumes the critical responsibility of managing Far High House Meadows, a location of immense ecological significance in Upper Weardale, County Durham, ensuring the preservation of its pristine beauty and abundant biodiversity."
Mayra_Alejandra,Person,employer,RCTV,Organization,Venezuelan actress Mayra Alejandra (1958-2014) was employed by Radio Caracas Televisión (RCTV).,Mayra Alejandra is gainfully employed with the esteemed organization known as RCTV.,The esteemed organization known as RCTV has gainedfully employed Mayra Alejandra.,"Mayra Alejandra, a renowned actress and broadcaster, found her professional home at RCTV, a prestigious organization where her unwavering dedication propelled her to notable achievements."
